County,Population,Poverty Count,No Degree,Degree,Lat,Lng
LaGrange County,37076.0,4665.0,7328.0,3912.0,41.64,-85.42
LaPorte County,109209.0,17308.0,29795.0,20135.0,41.61,-86.72
LaSalle County,113137.0,15354.0,29507.0,20554.0,41.27,-88.88
Lackawanna County,211543.0,31354.0,57736.0,52319.0,41.63,-75.62
Lafayette County,112325.0,19986.0,24449.0,24296.0,34.37,-89.52
Lafayette Parish,238662.0,38459.0,46538.0,56731.0,30.23,-92.07
Lafourche Parish,91223.0,13290.0,24992.0,13237.0,29.57,-90.38
Lajas Municipio,24492.0,14579.0,5174.0,4536.0,18.01,-67.04
Lake County,1931850.0,241195.0,396622.0,505760.0,42.33,-88
Lake and Peninsula Borough,1311.0,261.0,336.0,124.0,57,-158
Lamar County,155951.0,28916.0,32306.0,34111.0,33.67,-95.58
Lampasas County,22357.0,3211.0,4378.0,4644.0,31.22,-98.23
Lancaster County,933606.0,113091.0,204213.0,229792.0,40.25,-76.25
Lander County,6008.0,768.0,1476.0,968.0,39.88,-116.88
Lane County,362501.0,69717.0,62674.0,91978.0,43.92,-122.83
Langlade County,19523.0,2953.0,6185.0,3692.0,45.25,-89.05
Lapeer County,83435.0,8586.0,21866.0,16227.0,43.13,-83.23
Laramie County,96493.0,9817.0,17264.0,26131.0,41.35,-104.67
Lares Municipio,28752.0,16509.0,5302.0,4457.0,18.27,-66.87
Larimer County,319222.0,41448.0,40961.0,111277.0,40.67,-105.47
Las Animas County,14312.0,1942.0,3134.0,3209.0,37.42,-104
Las Piedras Municipio,38132.0,18161.0,9120.0,7197.0,18.19,-65.87
Lassen County,32920.0,3637.0,7359.0,5381.0,40.67,-120.58
Latah County,39446.0,8014.0,4504.0,11835.0,47.13,-117
Lauderdale County,204229.0,41021.0,49572.0,36737.0,34.9,-87.63
Laurens County,108028.0,26121.0,28988.0,17001.0,32.45,-82.92
Lavaca County,23692.0,2588.0,6975.0,3607.0,29.38,-96.95
Lawrence County,402814.0,65559.0,118160.0,68797.0,41,-80.5
Lea County,68930.0,10549.0,13480.0,8415.0,32.8,-103.47
Leavenworth County,73989.0,7096.0,14874.0,18424.0,39.23,-95.03
Lebanon County,139385.0,14441.0,42402.0,25638.0,40.5,-76.62
Lee County,1151728.0,194624.0,258054.0,275152.0,26.57,-81.88
Leelanau County,15917.0,1530.0,2896.0,6175.0,44.9,-85.83
Leflore County,31548.0,11755.0,6874.0,4599.0,33.52,-90.22
Lehigh County,369363.0,46822.0,87013.0,94312.0,40.75,-75.62
Lemhi County,7703.0,1284.0,2046.0,1688.0,45.67,-114
Lenawee County,98598.0,13316.0,25443.0,19163.0,41.9,-84.08
Lenoir County,58754.0,13307.0,13682.0,10393.0,35.23,-77.65
Leon County,304226.0,61317.0,37489.0,93452.0,30.49,-84.21
Letcher County,25548.0,7475.0,7048.0,3651.0,37.13,-82.87
Lewis County,157459.0,27102.0,42573.0,27331.0,46.58,-122.4
Lewis and Clark County,66302.0,7781.0,11463.0,21232.0,47.03,-112.48
Lexington County,285374.0,38812.0,57735.0,75835.0,33.9,-81.3
